_id,Group,Name,Description
1110,Legislators and senior government officials,ผู้บัญญัติกฎหมาย,ทำหน้าที่ตัดสินใจ  กำหนดวิธีการและกำกับดูแลนโยบายของราชการในระดับประเทศภูมิภาคหรือท้องถิ่น  เป็นประธานหรือมีส่วนร่วมในการดำเนินการขององค์กรนิติบัญญัติ  และสภาการบริหารของราชการหรือคณะกรรมมาธิการร่างกฎหมาย   รวมทั้งจัดทำ  อนุมัติ  แก้ไขเปลี่ยนแปลงหรือยกเลิกกฎหมาย  กฎและระเบียบสาธารณะต่าง ๆ  ภายในโครงร่างของรัฐธรรมนูญ  กำหนดอำนาจของกฎหมายและขอบเขตอำนาจของศาล
1120,Senior government officials,ข้าราชการระดับอาวุโส,ทำหน้าที่ให้คำแนะนำทางด้านนโยบายแก่รัฐบาลในระดับประเทศ ภูมิภาคหรือท้องถิ่นและในด้านการเตรียมงบประมาณ กฎหมายและกฎระเบียบต่าง ๆ ของรัฐบาล รวมทั้งบทแก้ไขเปลี่ยนแปลงเป็นตัวแทนของประเทศในต่างแดนและปฏิบัติงานในนามของประเทศ ควบคุมตรวจตราการแปลความหมายและการดำเนินการให้บรรลุตามนโยบายของรัฐบาล
1130,Traditional chiefs and heads of villages,ผู้นำตามประเพณีและหัวหน้าหมู่บ้าน,ทำหน้าที่เกี่ยวกับการออกกฎระเบียบการบริหารและงานพิธีต่าง ๆ ซึ่งกำหนดไว้ตามประเพณีที่ปฏิบัติกันมาแต่โบราณ ทำหน้าที่ด้านงานพิธีการต่าง ๆ เกี่ยวกับการเกิดการแต่งงาน การตาย การเก็บเกี่ยวและงานเลี้ยงตามประเพณีต่าง ๆ เป็นตัวแทนของชุมชนหรือหมู่บ้านในสภาประจำภูมิภาคหรือท้องถิ่น ตลอดจนรับผิดชอบในการแจ้งข่าวเกี่ยวกับกฎหมายหรือระเบียบของทางการให้แก่ชุมชนหรือหมู่บ้านทราบโดยทั่วกัน
1141,Senior officials of political party organisations,เจ้าหน้าที่ระดับอาวุโสขององค์กรพรรคการเมือง,ทำหน้าที่ในการตัดสินใจและกำหนดแนวนโยบายกฎและระเบียบของพรรคการเมือง ดำเนินการเจรจาในนามของพรรคการเมืองและสมาชิกพรรค วางแผนและจัดทำการรณรงค์ต่าง ๆ ในการเลือกตั้งของผู้ลงสมัครรับเลือกตั้งของพรรคเพื่อตำแหน่งทางการเมือง รวมถึงการสรรหาสมาชิก การให้ความรู้แก่สมาชิกและกำกับดูแลการดำเนินงานให้บรรลุตามนโยบาย กฎและระเบียบของพรรคการเมือง
1142,"Senior officials of employers', workers' and other economic-interest organisations",เจ้าหน้าที่ระดับอาวุโสขององค์กรนายจ้าง องค์กรกรรมกรและองค์กรที่มีผลประโยชน์เชิงเศรษฐกิจอื่น ๆ,ทำหน้าที่ในการตัดสินใจและกำหนดแนวนโยบาย กฎและระเบียบต่าง ๆ ขององค์กร เป็นตัวแทนขององค์กรเพื่อดำเนินการเจรจาในนามขององค์กรและสมาชิก เผยแพร่ผลประโยชน์ต่าง ๆ ขององค์กรและสมาชิกต่อสภานิติบัญญัติ รัฐบาลหรือสาธารณชนและปฏิบัติงานเพื่อให้บรรลุตามนโยบาย กฎและระเบียบขององค์กร
1143,Senior officials of humanitarian and other special-interest organisations,เจ้าหน้าที่ระดับอาวุโสขององค์กรเพื่อมนุษยธรรมและองค์กรที่ดำเนินการเพื่อผลประโยชน์เฉพาะอย่างอื่น ๆ,ทำหน้าที่ตัดสินใจและกำหนดแนวนโยบาย กฎและระเบียบขององค์กรเพื่อมนุษยธรรมและองค์กรที่ดำเนินการเพื่อผลประโยชน์เฉพาะอย่างกำกับดูแลการใช้นโยบาย กฎและระเบียบเป็นตัวแทนและเจรจาต่อรองในนามขององค์กร สมาชิกขององค์กรและกลุ่มที่มีผลประโยชน์พิเศษเกี่ยวข้อง เผยแพร่ผลประโยชน์ต่าง ๆ ขององค์กรและสมาชิกต่อสภานิติบัญญัติ รัฐบาลหรือสาธารณชนตลอดจนดูแลและดำเนินงานให้บรรลุตามนโยบาย กฎและระเบียบขององค์กร
1210,Directors and chief executives,กรรมการและหัวหน้าผู้บริหาร,ทำหน้าที่เป็นผู้บริหารสูงสุดขององค์กรเอกชนและรัฐวิสาหกิจ หรือองค์กรที่รัฐบาลเป็นเจ้าของ (ยกเว้นองค์กรที่ดำเนินการเพื่อผลประโยชน์เฉพาะอย่าง) ตัดสินใจและกำหนดแนวนโยบายของบริษัทหรือองค์กร ซึ่งจะต้องมีผู้จัดการอื่นอีกอย่างน้อย 2 คน คอยช่วยเหลือในการตัดสินใจและกำหนดแนวนโยบายต่าง ๆ รวมทั้งวางแผนกำกับดูแลและประสานงานในการปฏิบัติงานโดยทั่วไปของบริษัทหรือองค์กร ปฏิบัติตามแนวทางที่คณะกรรมการบริหารขององค์กรเอกชนและรัฐวิสาหกิจ หรือหน่วยงานราชการได้กำหนดขึ้น และจะต้องรายงานผลการดำเนินงานที่ได้รับต่อคณะกรรมการฯ รวมถึงการเป็นตัวแทนบริษัทหรือองค์กรในการเจรจาตกลงทางการค้ากับหน่วยงานภายนอกรัฐบาลและเจ้าหน้าที่ผู้มีอำนาจอื่น ๆ
1221,"Production and operations managers in agriculture, hunting, forestry and fishing",ผู้จัดการฝ่ายผลิตและดำเนินงานด้านเกษตรกรรม การล่าสัตว์ การป่าไม้และการประมง,ทำหน้าที่วางแผนกำกับดูแลและประสานงานในกิจกรรมที่เกี่ยวกับการผลิตสินค้าด้านเกษตรกรรม การล่าสัตว์ การป่าไม้และการประมง รวมถึงการผลิตผลิตภัณฑ์จากพืชและสัตว์ และการบริการทางการเกษตรที่เกี่ยวข้อง
1222,Production and operations managers in manufacturing,ผู้จัดการฝ่ายผลิตและดำเนินงานด้านการผลิต,ทำหน้าที่วางแผน กำกับดูแลและประสานงานในกิจกรรมที่เกี่ยวกับการผลิตสินค้าการสกัดวัตถุ แร่ธาตุจากใต้ดินและเหมืองแร่บนพื้นผิวดิน การระเบิดหิน หรือการผลิตและจัดสรรไฟฟ้า ก๊าซและน้ำประปา
1223,Production and operations managers in construction,ผู้จัดการฝ่ายผลิตและดำเนินงานด้านการก่อสร้าง,ทำหน้าที่วางแผน กำกับดูแลและประสานงานในกิจกรรมที่เกี่ยวกับงานก่อสร้างอาคารทั่วไป การเตรียมสถานที่เพื่อการก่อสร้าง การก่อสร้างทั่วไปและการก่อสร้างเฉพาะงาน รวมทั้งงานวิศวกรรมโยธา รวมถึงการให้เช่าเครื่องอุปกรณ์ที่ใช้ในงานก่อสร้างหรือการรื้อถอน (โดยมีผู้ควบคุม)
